Date,Description,Category,Amount (INR)
2025-09-01,Starbucks Coffee,Food,350
2025-09-01,Uber Ride,Transport,220
2025-09-02,Netflix Subscription,Entertainment,499
2025-09-02,Vegetables Market,Groceries,320
2025-09-03,Gym Membership,Health,1200
2025-09-03,Amazon Purchase,Shopping,1800
2025-09-04,Online Movie Tickets,Entertainment,800
2025-09-04,Petrol Pump,Transport,1500
2025-09-05,Protein Supplements,Health,1500
2025-09-05,Restaurant Lunch,Food,650
2025-09-06,Starbucks Coffee,Food,300
2025-09-06,Online Shopping,Shopping,2500
2025-09-07,Spin Class,Health,700
2025-09-07,Vegetables Market,Groceries,400
2025-09-08,Dinner at Restaurant,Food,1200
2025-09-08,Movie Streaming,Entertainment,400
2025-09-09,Vitamin C Tablets,Health,600
2025-09-09,Uber Ride,Transport,180
2025-09-10,Coffee Beans,Food,450
2025-09-10,Concert Ticket,Entertainment,2500
2025-09-11,Organic Veggies,Groceries,600
2025-09-11,Clothing Store,Shopping,2200
2025-09-12,Yoga Class,Health,800
2025-09-12,Fast Food,Food,500
2025-09-13,Online Shopping,Shopping,3000
2025-09-13,Protein Powder,Health,1300
2025-09-14,Movie Tickets,Entertainment,1000
2025-09-14,Vegetables Market,Groceries,550
2025-09-15,Coffee,Food,400
2025-09-15,Netflix Subscription,Entertainment,499
2025-09-16,Multivitamins,Health,700
2025-09-16,Dinner at Restaurant,Food,1500
2025-09-17,Concert Ticket,Entertainment,2000
2025-09-17,Organic Veggies,Groceries,650
2025-09-18,Yoga Class,Health,750
2025-09-18,Uber Ride,Transport,210
2025-09-19,Amazon Purchase,Shopping,1700
2025-09-19,Starbucks Coffee,Food,320
2025-09-20,Petrol Pump,Transport,1400
2025-09-20,Restaurant Lunch,Food,700
2025-09-21,Spin Class,Health,800
2025-09-21,Vegetables Market,Groceries,480
2025-09-22,Online Movie Tickets,Entertainment,850
2025-09-22,Clothing Store,Shopping,1500
2025-09-23,Protein Supplements,Health,1600
2025-09-23,Fast Food,Food,550
2025-09-24,Online Shopping,Shopping,2100
2025-09-24,Uber Ride,Transport,200
2025-09-25,Starbucks Coffee,Food,340
2025-09-25,Organic Veggies,Groceries,700
2025-09-26,Concert Ticket,Entertainment,1800
2025-09-26,Multivitamins,Health,750
2025-09-27,Dinner at Restaurant,Food,1600
2025-09-27,Vegetables Market,Groceries,600
2025-09-28,Yoga Class,Health,850
2025-09-28,Amazon Purchase,Shopping,2000
